State_ID,Unnamed: 0,Date,Mobile Device Type,qformuid (evar1),TreeAuthID (evar50),Visit Number,Product Reporting,Visitor_ID,csource (eVar20) (evar20),GeoSegmentation States,FormStart (ev57) (event57),Form Engagement 1 (ev11) (event11),Form Engagement 2 (ev12) (event12),Form Conversion (ev59) (event59),FCS Qform Optin Completed (ev373) (event373),FCS Client Signup Completed (ev73) (event73),FormSubmit in Express Offers (ev58) (event58),Page Views,Credit Card Apply Clicked (ev69) (event69),MyLT Session Started (ev189) (event189),Express Visited (ev290) (event290),States,States_only
1,35276,35276,35276,35276,35276,35276,35276,35276,35276,35276,35276,35276,35276,35276,35276,35276,35276,35276,35276,35276,35276,35276,35276
2,3421,3421,3421,3421,3421,3421,3421,3421,3421,3421,3421,3421,3421,3421,3421,3421,3421,3421,3421,3421,3421,3421,3421
3,54729,54729,54729,54729,54729,54729,54729,54729,54729,54729,54729,54729,54729,54729,54729,54729,54729,54729,54729,54729,54729,54729,54729
4,15313,15313,15313,15313,15313,15313,15313,15313,15313,15313,15313,15313,15313,15313,15313,15313,15313,15313,15313,15313,15313,15313,15313
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,347185,347185,347185,347185,347185,347185,347185,347185,347185,347185,347185,347185,347185,347185,347185,347185,347185,347185,347185,347185,347185,347185,347185
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,48510,48510,48510,48510,48510,48510,48510,48510,48510,48510,48510,48510,48510,48510,48510,48510,48510,48510,48510,48510,48510,48510,48510
9,28913,28913,28913,28913,28913,28913,28913,28913,28913,28913,28913,28913,28913,28913,28913,28913,28913,28913,28913,28913,28913,28913,28913
10,9352,9352,9352,9352,9352,9352,9352,9352,9352,9352,9352,9352,9352,9352,9352,9352,9352,9352,9352,9352,9352,9352,9352
11,11656,11656,11656,11656,11656,11656,11656,11656,11656,11656,11656,11656,11656,11656,11656,11656,11656,11656,11656,11656,11656,11656,11656
12,208306,208306,208306,208306,208306,208306,208306,208306,208306,208306,208306,208306,208306,208306,208306,208306,208306,208306,208306,208306,208306,208306,208306
13,121575,121575,121575,121575,121575,121575,121575,121575,121575,121575,121575,121575,121575,121575,121575,121575,121575,121575,121575,121575,121575,121575,121575
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,9589,9589,9589,9589,9589,9589,9589,9589,9589,9589,9589,9589,9589,9589,9589,9589,9589,9589,9589,9589,9589,9589,9589
16,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770
17,120216,120216,120216,120216,120216,120216,120216,120216,120216,120216,120216,120216,120216,120216,120216,120216,120216,120216,120216,120216,120216,120216,120216
18,44205,44205,44205,44205,44205,44205,44205,44205,44205,44205,44205,44205,44205,44205,44205,44205,44205,44205,44205,44205,44205,44205,44205
19,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905
20,17726,17726,17726,17726,17726,17726,17726,17726,17726,17726,17726,17726,17726,17726,17726,17726,17726,17726,17726,17726,17726,17726,17726
21,25566,25566,25566,25566,25566,25566,25566,25566,25566,25566,25566,25566,25566,25566,25566,25566,25566,25566,25566,25566,25566,25566,25566
22,24455,24455,24455,24455,24455,24455,24455,24455,24455,24455,24455,24455,24455,24455,24455,24455,24455,24455,24455,24455,24455,24455,24455
23,8422,8422,8422,8422,8422,8422,8422,8422,8422,8422,8422,8422,8422,8422,8422,8422,8422,8422,8422,8422,8422,8422,8422
24,55812,55812,55812,55812,55812,55812,55812,55812,55812,55812,55812,55812,55812,55812,55812,55812,55812,55812,55812,55812,55812,55812,55812
25,58663,58663,58663,58663,58663,58663,58663,58663,58663,58663,58663,58663,58663,58663,58663,58663,58663,58663,58663,58663,58663,58663,58663
26,71827,71827,71827,71827,71827,71827,71827,71827,71827,71827,71827,71827,71827,71827,71827,71827,71827,71827,71827,71827,71827,71827,71827
27,38683,38683,38683,38683,38683,38683,38683,38683,38683,38683,38683,38683,38683,38683,38683,38683,38683,38683,38683,38683,38683,38683,38683
28,15622,15622,15622,15622,15622,15622,15622,15622,15622,15622,15622,15622,15622,15622,15622,15622,15622,15622,15622,15622,15622,15622,15622
29,39426,39426,39426,39426,39426,39426,39426,39426,39426,39426,39426,39426,39426,39426,39426,39426,39426,39426,39426,39426,39426,39426,39426
30,6098,6098,6098,6098,6098,6098,6098,6098,6098,6098,6098,6098,6098,6098,6098,6098,6098,6098,6098,6098,6098,6098,6098
31,14412,14412,14412,14412,14412,14412,14412,14412,14412,14412,14412,14412,14412,14412,14412,14412,14412,14412,14412,14412,14412,14412,14412
32,24361,24361,24361,24361,24361,24361,24361,24361,24361,24361,24361,24361,24361,24361,24361,24361,24361,24361,24361,24361,24361,24361,24361
33,10248,10248,10248,10248,10248,10248,10248,10248,10248,10248,10248,10248,10248,10248,10248,10248,10248,10248,10248,10248,10248,10248,10248
34,85481,85481,85481,85481,85481,85481,85481,85481,85481,85481,85481,85481,85481,85481,85481,85481,85481,85481,85481,85481,85481,85481,85481
35,11673,11673,11673,11673,11673,11673,11673,11673,11673,11673,11673,11673,11673,11673,11673,11673,11673,11673,11673,11673,11673,11673,11673
36,148178,148178,148178,148178,148178,148178,148178,148178,148178,148178,148178,148178,148178,148178,148178,148178,148178,148178,148178,148178,148178,148178,148178
37,92716,92716,92716,92716,92716,92716,92716,92716,92716,92716,92716,92716,92716,92716,92716,92716,92716,92716,92716,92716,92716,92716,92716
38,4514,4514,4514,4514,4514,4514,4514,4514,4514,4514,4514,4514,4514,4514,4514,4514,4514,4514,4514,4514,4514,4514,4514
39,92089,92089,92089,92089,92089,92089,92089,92089,92089,92089,92089,92089,92089,92089,92089,92089,92089,92089,92089,92089,92089,92089,92089
40,20637,20637,20637,20637,20637,20637,20637,20637,20637,20637,20637,20637,20637,20637,20637,20637,20637,20637,20637,20637,20637,20637,20637
41,30598,30598,30598,30598,30598,30598,30598,30598,30598,30598,30598,30598,30598,30598,30598,30598,30598,30598,30598,30598,30598,30598,30598
42,112123,112123,112123,112123,112123,112123,112123,112123,112123,112123,112123,112123,112123,112123,112123,112123,112123,112123,112123,112123,112123,112123,112123
43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,7650,7650,7650,7650,7650,7650,7650,7650,7650,7650,7650,7650,7650,7650,7650,7650,7650,7650,7650,7650,7650,7650,7650
45,35561,35561,35561,35561,35561,35561,35561,35561,35561,35561,35561,35561,35561,35561,35561,35561,35561,35561,35561,35561,35561,35561,35561
46,4253,4253,4253,4253,4253,4253,4253,4253,4253,4253,4253,4253,4253,4253,4253,4253,4253,4253,4253,4253,4253,4253,4253
47,50974,50974,50974,50974,50974,50974,50974,50974,50974,50974,50974,50974,50974,50974,50974,50974,50974,50974,50974,50974,50974,50974,50974
48,243136,243136,243136,243136,243136,243136,243136,243136,243136,243136,243136,243136,243136,243136,243136,243136,243136,243136,243136,243136,243136,243136,243136
49,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794
50,4067,4067,4067,4067,4067,4067,4067,4067,4067,4067,4067,4067,4067,4067,4067,4067,4067,4067,4067,4067,4067,4067,4067
51,214371,214371,214371,214371,214371,214371,214371,214371,214371,214371,214371,214371,214371,214371,214371,214371,214371,214371,214371,214371,214371,214371,214371
52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,62108,62108,62108,62108,62108,62108,62108,62108,62108,62108,62108,62108,62108,62108,62108,62108,62108,62108,62108,62108,62108,62108,62108
54,10601,10601,10601,10601,10601,10601,10601,10601,10601,10601,10601,10601,10601,10601,10601,10601,10601,10601,10601,10601,10601,10601,10601
55,33252,33252,33252,33252,33252,33252,33252,33252,33252,33252,33252,33252,33252,33252,33252,33252,33252,33252,33252,33252,33252,33252,33252
56,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796
